tissue_no	genotype_ID	voucher_no_or_field_no	throat	flanks	tail spots	crown_pileum	back_color	back_spots	pheno.total	population	distance	maculatus.mtdna	maculatus.aflp	ocai.aflp	notes
B27876	HMQ385	SEK072	3	2	3	3	2	3	16	TV06	541	1	0.9003	0.1635	
B27877	HMQ386	SEK073	3	1	2	3	2	3	14	TV06	541	1	0.989	0.0624	
B27878	HMQ387	SEK074	3	2	4	4	3	4	20	TV06	541	1	0.6617	0.006	
B27879	HMQ388	MJB1553	3	3	2	4	2	1	15	TV06	541	1	0.9472	0.2607	
B27880	HMQ389	SEK075	3	4	2	3	2	1	15	TV06	541	1	0.9637	0.008	
B27881	HMQ390	MJB1554	3	3	3	4	2	2	17	TV06	541	1	0.8595	0.0266	
B27882	HMQ391	SEK076	3	3	2	3	1	2	14	TV06	541	1	0.7146	0.0367	
B27883	HMQ392	SEK077	3	3	3	3	2	3	17	TV06	541	1	0.8504	0.2773	
B27884	HMQ393	SEK078	3	3	NA	4	2	1	13	TV06	541	1	0.9521	0.0991	No tail
B27885	HMQ394	MJB1555	2	3	NA	4	2	1	12	TV06	541	1	0.7324	0.0145	No tail
B27886	HMQ395	SEK079	2	3	NA	3	2	1	11	TV06	541	1	0.899	0.0297	No tail
B27887	HMQ396	SEK080	3	3	3	4	1	1	15	TV06	541	1	0.9825	0.0283	
B27888	HMQ397	SEK081	3	3	1	3	1	1	12	TV06	541	1	0.4527	0.0105	
B27889	HMQ398	MJB1556	3	3	2	2	2	1	13	TV06	541	1	0.9397	0.0286	
B27890	HMQ399	MJB1557	3	4	4	3	1	1	16	TV06	541	1	0.9528	0.0563	
B27891	HMQ400	SEK082	3	4	3	3	1	2	16	TV06	541	1	0.9721	0.0082	
B27892	HMQ401	SEK083	3	3	4	4	2	3	19	TV06	541	1	0.7862	0.02	
B27925	HMR433	SEK104	3	3	3	3	2	3	17	TV07	621	1	0.9835	0.003	
B27926	HMR434	MJB1570	2	4	3	4	3	4	20	TV07	621	1	0.9325	0.003	Little tail left
B27927	HMR435	SEK105	3	4	4	4	3	4	22	TV07	621	1	0.8911	0.0153	
B27928	HMR436	SEK106	3	4	4	4	3	4	22	TV07	621	1	0.9784	0.0313	
B27929	HMR437	MJB1571	3	4	2	4	2	2	17	TV07	621	1	0.988	0.004	
B27931	HMR438	SEK107	3	4	4	3	3	4	21	TV07	621	1	0.9801	0.003	
B27932	HMR439	MJB1574	3	4	NA	3	2	2	14	TV07	621	1	0.9881	0.0109	Tail shot off
B27933	HMR440	SEK108	3	4	4	4	3	4	22	TV07	621	1	0.99	0.0079	
B27934	HMR441	SEK109	3	4	3	3	3	3	19	TV07	621	1	0.991	0.005	
B27935	HMR442	MJB1575	4	4	NA	3	2	3	16	TV07	621	1	0.9791	0.005	No tail
B27936	HMR443	SEK110	3	4	4	4	3	4	22	TV07	621	1	0.8368	0.0053	
B27937	HMR444	SEK111	2	2	4	3	2	4	17	TV07	621	1	0.9662	0.0948	
B27938	HMR445	SEK112	3	4	4	4	2	3	20	TV07	621	1	0.992	0.0227	
B27939	HMR446	MJB1576	3	4	4	3	2	3	19	TV07	621	1	0.969	0.003	
B27940	HMR447	SEK113	2	3	4	3	2	3	17	TV07	621	1	0.9654	0.007	
B27941	HMR448	SEK114	3	4	4	4	2	4	21	TV07	621	1	0.9343	0.009	
ENT005	HMS289	ENT005	3	3	4	4	3	4	21	TV08	688	1	0.716	0.013	
ENT006	HMS297	ENT006	4	4	4	3	3	3	21	TV08	688	1	0.9704	0.265	
ENT007	HMS305	ENT007	3	3	3	3	2	3	17	TV08	688	1	0.9422	0.0216	
ENT008	HMS313	ENT008	3	3	4	3	3	4	20	TV08	688	1	0.9718	0.0518	
ENT010	HMS321	ENT010	3	4	4	3	2	3	19	TV08	688	1	0.9764	0.0161	
ENT011	HMS329	ENT011	2	2	4	3	2	3	16	TV08	688	1	0.981	0.018	
ENT013	HMS337	ENT013	3	3	4	4	3	4	21	TV08	688	1	0.9826	0.011	
ENT014	HMS345	ENT014	3	4	3	4	3	4	21	TV08	688	1	0.987	0.0061	
ENT015	HMS353	ENT015	4	4	4	3	3	3	21	TV08	688	1	0.9839	0.006	
ENT020	HMS361	ENT020	3	4	3	3	2	4	19	TV08	688	1	0.9878	0.013	
ENT021	HMS369	ENT021	3	3	3	3	3	4	19	TV08	688	1	0.99	0.005	
ENT022	HMS377	ENT022	3	4	4	3	3	4	21	TV08	688	1	0.7878	0.005	
ENT027	HMS290	ENT027	3	4	4	4	3	4	22	TV08	688	1	0.8658	0.2039	
ENT028	HMS298	ENT028	4	3	4	3	2	3	19	TV08	688	1	0.8588	0.008	
ENT029	HMS306	ENT029	3	4	4	4	3	4	22	TV08	688	1	0.9909	0.1292	
ENT030	HMS314	ENT030	3	4	4	3	3	4	21	TV08	688	1	0.977	0.0061	
ENT032	OML322	ENT032	0	0	0	1	0	0	1	TV01	0	0	0.0105	0.013	
ENT034	OML330	ENT034	0	0	1	1	1	0	3	TV01	0	0	0.0081	0.979	
ENT037	OML338	ENT037	0	0	0	1	1	0	2	TV01	0	0	0.0122	0.9697	
ENT040	OML346	ENT040	0	0	1	1	1	0	3	TV01	0	0	0.03	0.9837	
ENT044	OML354	ENT044	0	0	1	0	1	0	2	TV01	0	0	0.0515	0.8099	
ENT052	OML362	ENT052	0	0	0	0	1	0	1	TV01	0	0	0.0155	0.9426	
ENT053	OML370	ENT053	0	0	0	0	0	0	0	TV01	0	0	0.0187	0.956	
ENT053b	OML378	ENT053b	0	0	1	1	1	0	3	TV01	0	0	0.0407	0.9641	53b is a different specimen than 53
ENT054	OML291	ENT054	0	0	1	1	1	0	3	TV01	0	0	0.0208	0.9007	
ENT055	OML299	ENT055	0	0	1	0	1	0	2	TV01	0	0	0.0176	0.9642	
ENT062	OML307	ENT062	0	0	0	0	1	0	1	TV01	0	0	0.0105	0.9765	
ENT063	OML315	ENT063	0	0	0	1	1	0	2	TV01	0	0	0.1456	0.9535	
ENT064	OML323	ENT064	0	0	0	1	1	0	2	TV01	0	0	0.0148	0.8434	
ENT069	OML339	ENT069	0	0	0	0	0	0	0	TV01	0	0	0.0214	0.9845	
ENT070	OML347	ENT070	0	0	0	0	0	0	0	TV01	0	0	0.0847	0.9609	
ENT071	OML355	ENT071	0	0	0	1	1	0	2	TV01	0	0	0.0155	0.8874	
ENT072	OML363	ENT072	0	0	0	0	1	0	1	TV01	0	0	0.0123	0.958	
ENT080	OMM371	ENT080	0	0	0	1	1	0	2	TV02	89	0	0.008	0.9837	
ENT081	OMM379	ENT081	0	0	1	0	1	0	2	TV02	89	0	0.009	0.9873	
ENT082	OMM292	ENT082	0	0	0	1	1	0	2	TV02	89	0	0.0213	0.9871	
ENT083	OMM300	ENT083	0	0	1	1	1	0	3	TV02	89	0	0.0385	0.9737	
ENT085	OMM308	ENT085	0	0	0	0	1	0	1	TV02	89	0	0.0497	0.9507	
ENT086	OMM316	ENT086	0	0	1	0	0	0	1	TV02	89	0	0.0161	0.9206	
ENT089	OMM332	ENT089	0	0	1	0	1	0	2	TV02	89	0	0.0505	0.9789	
ENT09_001	HMQ449	ENT09_001	3	3	3	4	1	3	17	TV06	541	1	0.9434	0.5856	
ENT09_003	HMQ450	ENT09_003	2	2	3	3	2	1	13	TV06	541	1	0.794	0.0386	
ENT09_004	HMQ451	ENT09_004	3	2	3	4	2	1	15	TV06	541	1	0.9831	0.0452	
ENT09_005	HMQ452	ENT09_005	3	2	1	3	1	1	11	TV06	541	1	0.986	0.0109	
ENT09_006	HMQ453	ENT09_006	3	2	3	4	2	2	16	TV06	541	1	0.6705	0.005	
ENT09_007	HMQ454	ENT09_007	3	3	3	3	1	1	14	TV06	541	1	0.9108	0.0483	
ENT09_008	HMQ455	ENT09_008	4	4	4	4	2	2	20	TV06	541	1	0.9357	0.0391	
ENT09_010	HMQ456	ENT09_010	3	3	3	4	2	2	17	TV06	541	1	0.806	0.0483	
ENT09_011	HMQ457	ENT09_011	3	3	2	3	1	1	13	TV06	541	1	0.9458	0.0121	
ENT09_012	HMQ458	ENT09_012	4	3	3	3	2	2	17	TV06	541	1	0.9841	0.0108	
ENT09_013	HMQ459	ENT09_013	3	3	2	4	2	1	15	TV06	541	1	0.6829	0.007	
ENT09_014	HMQ460	ENT09_014	4	3	3	4	2	2	18	TV06	541	1	0.9795	0.021	
ENT09_048	HMR188	ENT09_048	3	3	NA	3	2	3	14	TV07	621	1	0.9699	0.0045	No tail
ENT09_049	HMR189	ENT09_049	3	4	4	4	3	4	22	TV07	621	1	0.9889	0.0101	
ENT09_050	HMR190	ENT09_050	3	4	4	3	2	4	20	TV07	621	1	0.9771	0.0051	
ENT09_051	HMR191	ENT09_051	3	4	4	3	2	3	19	TV07	621	1	0.9873	0.005	
ENT09_053	HMR192	ENT09_053	4	4	4	3	2	2	19	TV07	621	1	0.9801	0.0051	
ENT09_054	HMR281	ENT09_054	3	4	3	4	3	3	20	TV07	621	1	0.9829	0.0129	
ENT09_055	HMR282	ENT09_055	3	4	NA	3	2	2	14	TV07	621	1	0.9608	0.0075	No tail
ENT09_056	HMR283	ENT09_056	3	2	3	3	3	3	17	TV07	621	1	0.9281	0.009	
ENT09_058	HMR284	ENT09_058	3	4	3	3	2	4	19	TV07	621	1	0.9959	0.0484	
ENT09_059	HMR285	ENT09_059	3	4	4	3	3	4	21	TV07	621	1	0.9814	0.0021	
ENT09_060	HMR286	ENT09_060	3	4	NA	3	2	2	14	TV07	621	1	0.99	0.006	No tail
ENT09_061	HMR287	ENT09_061	3	4	4	4	2	2	19	TV07	621	1	0.9911	0.005	
ENT09_062	HMR288	ENT09_062	3	3	3	3	2	2	16	TV07	621	1	0.9839	0.0029	
ENT09_063	HMR171	ENT09_063	3	4	4	3	3	3	20	TV07	621	1	0.9403	0.004	
ENT09_064	HMR172	ENT09_064	3	4	4	4	3	4	22	TV07	621	1	0.4527	0.0168	
ENT090	OMM340	ENT090	0	0	0	1	1	0	2	TV02	89	0	0.0225	0.0152	
ENT091	OMM348	ENT091	0	0	0	1	1	0	2	TV02	89	0	0.011	0.9566	
ENT092	OMM356	ENT092	0	0	1	0	1	0	2	TV02	89	0	0.0892	0.9803	
ENT093	OMM364	ENT093	0	0	0	1	1	0	2	TV02	89	0	0.0215	0.9013	
ENT101	OMM372	ENT101	0	0	0	1	1	0	2	TV02	89	0	0.0346	0.9463	
ENT102	OMM380	ENT102	0	0	0	1	1	0	2	TV02	89	0	0.3598	0.9604	
ENT103	OMM293	ENT103	0	0	0	1	1	0	2	TV02	89	0	0.0196	0.6234	
ENT108	HMN301	ENT108	2	1	0	1	1	0	5	TV03	260	1	0.3853	0.9616	
ENT109	HMN309	ENT109	3	1	1	1	1	0	7	TV03	260	1	0.4607	0.6107	
ENT111	HMN317	ENT111	2	2	NA	0	0	0	4	TV03	260	1	0.1148	0.5322	Tail shot off 
ENT114	HMN325	ENT114	3	1	0	1	1	0	6	TV03	260	1	0.0487	0.8758	
ENT120	HMN333	ENT120	3	2	0	3	1	0	9	TV03	260	1	0.2056	0.9305	
ENT121	HMN341	ENT121	3	1	0	0	0	0	4	TV03	260	1	0.626	0.7844	
ENT122	HMN349	ENT122	3	1	0	1	1	1	7	TV03	260	1	0.2185	0.3628	
ENT125	HMN357	ENT125	2	1	0	0	0	0	3	TV03	260	1	0.0412	0.7785	
ENT126	HMN365	ENT126	3	2	0	1	1	0	7	TV03	260	1	0.2929	0.8747	
ENT127	HMO373	ENT127	3	1	1	3	1	1	10	TV04	348	1	0.6966	0.6738	
ENT128	HMO381	ENT128	3	1	1	2	1	0	8	TV04	348	1	0.1351	0.2984	
ENT129	HMO294	ENT129	3	1	0	3	1	0	8	TV04	348	1	0.2183	0.8609	
ENT130	HMO302	ENT130	3	1	1	4	1	1	11	TV04	348	1	0.3299	0.7777	
ENT131	HMO310	ENT131	3	2	3	3	2	0	13	TV04	348	1	0.4595	0.6648	
ENT132	HMO318	ENT132	2	2	1	2	1	0	8	TV04	348	1	0.3008	0.5343	
ENT133	HMO326	ENT133	2	1	0	4	0	0	7	TV04	348	1	0.1707	0.6902	
ENT134	HMO334	ENT134	3	2	1	4	0	0	10	TV04	348	1	0.2863	0.5113	
ENT136	HMO350	ENT136	3	3	0	3	1	0	10	TV04	348	1	0.7393	0.6948	
ENT137	HMO358	ENT137	3	2	0	2	1	0	8	TV04	348	1	0.7221	0.0617	
ENT138	HMO366	ENT138	3	3	1	4	0	0	11	TV04	348	1	0.4935	0.271	
ENT139	HMO374	ENT139	3	2	0	3	1	0	9	TV04	348	1	0.1582	0.4855	
ENT140	HMO382	ENT140	3	1	0	3	0	1	8	TV04	348	1	0.145	0.8358	
ENT141	HMO295	ENT141	3	1	0	1	0	0	5	TV04	348	1	0.5701	0.85	
ENT142	HMO303	ENT142	3	1	0	4	0	0	8	TV04	348	1	0.5344	0.4218	
ENT144	HMP311	ENT144	3	3	4	4	3	2	19	TV05	450	1	0.9613	0.4616	
ENT145	HMP319	ENT145	3	3	2	3	2	1	14	TV05	450	1	0.9648	0.034	
ENT152	HMP327	ENT152	3	3	4	3	2	2	17	TV05	450	1	0.9144	0.0322	
ENT156	HMP335	ENT156	3	2	4	4	2	2	17	TV05	450	1	0.9923	0.0492	
ENT158	HMP343	ENT158	4	3	3	4	2	2	18	TV05	450	1	0.9366	0.0037	
ENT159	HMP351	ENT159	3	3	4	4	2	1	17	TV05	450	1	0.9522	0.0594	
ENT160	HMP359	ENT160	2	3	4	4	2	2	17	TV05	450	1	0.9606	0.0438	
ENT162	HMP367	ENT162	3	2	3	3	2	2	15	TV05	450	1	0.9206	0.0284	
ENT163	HMP375	ENT163	3	3	4	4	2	1	17	TV05	450	1	0.4804	0.0754	
ENT164	HMP174	ENT164	3	1	2	3	2	1	12	TV05	450	1	0.3025	0.5089	
ENT168	HMP383	ENT168	2	4	4	4	2	2	18	TV05	450	1	0.6447	0.5783	
